year,mun_code,mun_name,cases,date
2016,230440,Fortaleza,1179.0,2016-06-03
2016,310620,Belo Horizonte,814.0,2016-06-03
2016,230440,Fortaleza,988.0,2016-06-10
2016,355030,São Paulo,69.0,2016-06-10
2016,310620,Belo Horizonte,523.0,2016-06-10
2016,355030,São Paulo,49.0,2016-06-17
2016,310620,Belo Horizonte,369.0,2016-06-17
2016,230440,Fortaleza,1044.0,2016-06-17
2016,230440,Fortaleza,709.0,2016-06-24
2016,310620,Belo Horizonte,214.0,2016-06-24
2016,355030,São Paulo,26.0,2016-06-24
2016,310620,Belo Horizonte,124.0,2016-07-01
2016,230440,Fortaleza,738.0,2016-07-01
2016,355030,São Paulo,43.0,2016-07-01
2016,310620,Belo Horizonte,106.0,2016-07-08
2016,230440,Fortaleza,841.0,2016-07-08
2016,355030,São Paulo,40.0,2016-07-08
2016,355030,São Paulo,35.0,2016-07-15
2016,230440,Fortaleza,653.0,2016-07-15
2016,310620,Belo Horizonte,76.0,2016-07-15
2016,355030,São Paulo,16.0,2016-07-22
2016,310620,Belo Horizonte,73.0,2016-07-22
2016,230440,Fortaleza,695.0,2016-07-22
2016,230440,Fortaleza,607.0,2016-07-29
2016,310620,Belo Horizonte,43.0,2016-07-29
2016,355030,São Paulo,18.0,2016-07-29
2016,230440,Fortaleza,548.0,2016-08-05
2016,355030,São Paulo,28.0,2016-08-05
2016,310620,Belo Horizonte,25.0,2016-08-05
2016,310620,Belo Horizonte,26.0,2016-08-12
2016,355030,São Paulo,25.0,2016-08-12
2016,230440,Fortaleza,432.0,2016-08-12
2016,355030,São Paulo,25.0,2016-08-19
2016,310620,Belo Horizonte,39.0,2016-08-19
2016,230440,Fortaleza,472.0,2016-08-19
2016,230440,Fortaleza,379.0,2016-08-26
2016,355030,São Paulo,34.0,2016-08-26
2016,310620,Belo Horizonte,21.0,2016-08-26
2016,355030,São Paulo,27.0,2016-09-02
2016,230440,Fortaleza,241.0,2016-09-02
2016,310620,Belo Horizonte,19.0,2016-09-02
2016,310620,Belo Horizonte,27.0,2016-09-09
2016,230440,Fortaleza,219.0,2016-09-09
2016,355030,São Paulo,37.0,2016-09-09
2016,355030,São Paulo,24.0,2016-09-16
2016,230440,Fortaleza,241.0,2016-09-16
2016,310620,Belo Horizonte,24.0,2016-09-16
2016,355030,São Paulo,33.0,2016-09-23
2016,230440,Fortaleza,265.0,2016-09-23
2016,310620,Belo Horizonte,19.0,2016-09-23
2016,355030,São Paulo,24.0,2016-09-30
2016,230440,Fortaleza,219.0,2016-09-30
2016,310620,Belo Horizonte,14.0,2016-09-30
2016,230440,Fortaleza,218.0,2016-10-07
2016,310620,Belo Horizonte,14.0,2016-10-07
2016,355030,São Paulo,25.0,2016-10-07
2016,310620,Belo Horizonte,23.0,2016-10-14
2016,230440,Fortaleza,160.0,2016-10-14
2016,355030,São Paulo,34.0,2016-10-14
2016,355030,São Paulo,43.0,2016-10-21
2016,230440,Fortaleza,150.0,2016-10-21
