mun_code,mun_name,date,cases,cases_lag1,cases_lag2,cases_lag3,cases_lag4,cases_lag5,cases_lag6,cases_lag7,cases_lag8,cases_lag9
355030,São Paulo,2015-06-04,427.0,541.0,806.0,1325.0,2236.0,3065.0,3482.0,3551.0,3792.0,3153.0
230440,Fortaleza,2015-06-04,1722.0,2140.0,2678.0,2774.0,2243.0,1691.0,1505.0,901.0,617.0,408.0
355030,São Paulo,2015-06-11,239.0,427.0,541.0,806.0,1325.0,2236.0,3065.0,3482.0,3551.0,3792.0
310620,Belo Horizonte,2015-06-11,626.0,645.0,761.0,1361.0,1840.0,2183.0,2193.0,1433.0,1232.0,1153.0
230440,Fortaleza,2015-06-11,1525.0,1722.0,2140.0,2678.0,2774.0,2243.0,1691.0,1505.0,901.0,617.0
310620,Belo Horizonte,2015-06-18,409.0,626.0,645.0,761.0,1361.0,1840.0,2183.0,2193.0,1433.0,1232.0
355030,São Paulo,2015-06-18,155.0,239.0,427.0,541.0,806.0,1325.0,2236.0,3065.0,3482.0,3551.0
230440,Fortaleza,2015-06-18,1457.0,1525.0,1722.0,2140.0,2678.0,2774.0,2243.0,1691.0,1505.0,901.0
355030,São Paulo,2015-06-25,91.0,155.0,239.0,427.0,541.0,806.0,1325.0,2236.0,3065.0,3482.0
310620,Belo Horizonte,2015-06-25,258.0,409.0,626.0,645.0,761.0,1361.0,1840.0,2183.0,2193.0,1433.0
230440,Fortaleza,2015-06-25,1195.0,1457.0,1525.0,1722.0,2140.0,2678.0,2774.0,2243.0,1691.0,1505.0
355030,São Paulo,2015-07-02,141.0,91.0,155.0,239.0,427.0,541.0,806.0,1325.0,2236.0,3065.0
230440,Fortaleza,2015-07-02,795.0,1195.0,1457.0,1525.0,1722.0,2140.0,2678.0,2774.0,2243.0,1691.0
310620,Belo Horizonte,2015-07-02,161.0,258.0,409.0,626.0,645.0,761.0,1361.0,1840.0,2183.0,2193.0
355030,São Paulo,2015-07-09,88.0,141.0,91.0,155.0,239.0,427.0,541.0,806.0,1325.0,2236.0
230440,Fortaleza,2015-07-09,702.0,795.0,1195.0,1457.0,1525.0,1722.0,2140.0,2678.0,2774.0,2243.0
310620,Belo Horizonte,2015-07-09,93.0,161.0,258.0,409.0,626.0,645.0,761.0,1361.0,1840.0,2183.0
310620,Belo Horizonte,2015-07-16,81.0,93.0,161.0,258.0,409.0,626.0,645.0,761.0,1361.0,1840.0
355030,São Paulo,2015-07-16,77.0,88.0,141.0,91.0,155.0,239.0,427.0,541.0,806.0,1325.0
230440,Fortaleza,2015-07-16,514.0,702.0,795.0,1195.0,1457.0,1525.0,1722.0,2140.0,2678.0,2774.0
310620,Belo Horizonte,2015-07-23,53.0,81.0,93.0,161.0,258.0,409.0,626.0,645.0,761.0,1361.0
355030,São Paulo,2015-07-23,90.0,77.0,88.0,141.0,91.0,155.0,239.0,427.0,541.0,806.0
230440,Fortaleza,2015-07-23,384.0,514.0,702.0,795.0,1195.0,1457.0,1525.0,1722.0,2140.0,2678.0
230440,Fortaleza,2015-07-30,333.0,384.0,514.0,702.0,795.0,1195.0,1457.0,1525.0,1722.0,2140.0
355030,São Paulo,2015-07-30,61.0,90.0,77.0,88.0,141.0,91.0,155.0,239.0,427.0,541.0
310620,Belo Horizonte,2015-07-30,45.0,53.0,81.0,93.0,161.0,258.0,409.0,626.0,645.0,761.0
355030,São Paulo,2015-08-06,42.0,61.0,90.0,77.0,88.0,141.0,91.0,155.0,239.0,427.0
230440,Fortaleza,2015-08-06,332.0,333.0,384.0,514.0,702.0,795.0,1195.0,1457.0,1525.0,1722.0
310620,Belo Horizonte,2015-08-06,23.0,45.0,53.0,81.0,93.0,161.0,258.0,409.0,626.0,645.0
310620,Belo Horizonte,2015-08-13,25.0,23.0,45.0,53.0,81.0,93.0,161.0,258.0,409.0,626.0
230440,Fortaleza,2015-08-13,273.0,332.0,333.0,384.0,514.0,702.0,795.0,1195.0,1457.0,1525.0
355030,São Paulo,2015-08-13,44.0,42.0,61.0,90.0,77.0,88.0,141.0,91.0,155.0,239.0
230440,Fortaleza,2015-08-20,216.0,273.0,332.0,333.0,384.0,514.0,702.0,795.0,1195.0,1457.0
